Alamat,tbc,dbd,tifoid,Umur,Nafsu Makan Kurang,Nafsu Makan Normal,Jarang Jajan Diluar,Sering Jajan Diluar,Tersedia air bersih,Tidak tersedia air bersih,Ada lalat/nyamuk di sekitar tumpukan sampah,Ada sampah tapi kadang dibersihkan kadang tidak,Ada sampah tapi tidak banyak,Bersih tanpa ada sampah,Ada disemua ruangan,Ada tapi hanya sedikit,Ada tapi jarang terbuka,Ada tapi selalu tertutup,Jarang pakai jamban/toilet,Sering Pakai Jamban/Toilet
Somba Opu,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tanjonga, Jeneponto",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tawangagung,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barombong,0.0,1.0,0.0,30.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Borong Sapiri,0.0,1.0,0.0,17.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Kampung Beru,0.0,1.0,0.0,31.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Lempangang,0.0,1.0,0.0,23.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Moncong Tanah,0.0,3.0,0.0,16.333333333333332,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,1.0
Patallassang,0.0,1.0,0.0,22.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
Sungguminasa,0.0,1.0,1.0,20.0,0.5,0.5,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0
Tangke Bajeng,0.0,1.0,2.0,15.0,1.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0
"Batunapara, Sapaya",0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
Buntu Alang,0.0,0.0,1.0,10.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
"Kampung Beru, Takalar",0.0,0.0,1.0,21.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Lauwa,0.0,0.0,1.0,19.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Pallantikang,0.0,0.0,1.0,22.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Panambungan,0.0,0.0,1.0,31.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Romang Polong,0.0,0.0,1.0,42.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
